pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,discoverymethod,disc_year
Kepler-1597 b,Kepler-1597,2.94654179,0.04136,1.06,1.2,1497.0,6377.0,Transit,2016
Kepler-687 b,Kepler-687,20.50586978,0.1326,3.52,12.2,518.0,4841.0,Transit,2016
Kepler-1596 b,Kepler-1596,66.373379,0.3237,1.9,4.27,471.0,5706.0,Transit,2016
Kepler-692 b,Kepler-692,21.81293494,0.1495,3.11,9.85,639.0,5440.0,Transit,2016
Kepler-150 c,Kepler-150,7.381998,0.073,3.69,13.2,876.0,5560.0,Transit,2014
Kepler-1494 b,Kepler-1494,91.080482,0.3982,3.07,9.64,415.0,5659.0,Transit,2016
Kepler-1502 b,Kepler-1502,41.7083629,0.2482,3.18,10.2,608.0,6666.0,Transit,2016
Kepler-1490 b,Kepler-1490,92.4362973,0.3729,3.04,9.48,348.0,5515.0,Transit,2016
Kepler-1491 b,Kepler-1491,16.5861762,0.127,1.51,2.89,821.0,5728.0,Transit,2016
Kepler-171 b,Kepler-171,4.166972,0.05,2.34,6.08,1053.0,5642.0,Transit,2014
Kepler-1926 b,Kepler-1926,42.87770081,0.2197,2.31495961,5.97,451.0,5256.0,Transit,2021
Kepler-1631 b,Kepler-1631,4.09513932,0.0511,1.35,2.39,1122.0,5679.0,Transit,2016
KOI-1599.02,KOI-1599,13.6088,0.112293,1.9,9.0,755.0,5833.0,Transit,2019
Kepler-719 b,Kepler-719,5.007317779,0.0556,8.52,54.5,998.0,5777.0,Transit,2016
Kepler-734 b,Kepler-734,6.104852856,0.0583,3.56,12.4,784.0,5326.0,Transit,2016
Kepler-1408 b,Kepler-1408,2.99793191,0.04218,0.89,0.64,1616.0,6170.0,Transit,2016
Kepler-1427 b,Kepler-1427,0.968972376,0.0197,1.1,1.37,1844.0,5793.0,Transit,2016
Kepler-1665 b,Kepler-1665,11.9548,0.096,2.83910787,8.44,906.0,5049.84,Transit,2020
Kepler-342 e,Kepler-342,1.644224613,0.02909,0.88,0.615,1897.0,6366.0,Transit,2016
Kepler-267 b,Kepler-267,3.353728,0.037,1.98,37.9,615.0,4258.0,Transit,2014
Kepler-1738 b,Kepler-1738,7.674630165,0.0781,2.82472883,8.37,957.0,6063.0,Transit,2021
Kepler-746 b,Kepler-746,3.48159251,0.0435,1.11,1.41,1156.0,5418.0,Transit,2016
Kepler-760 b,Kepler-760,8.70419416,0.08087,3.06,9.59,748.0,5322.0,Transit,2016
Kepler-272 c,Kepler-272,6.057342,0.061,1.79,97.8,947.0,5297.0,Transit,2014
Kepler-775 b,Kepler-775,0.974868926,0.01834,1.19,1.81,1612.0,5468.0,Transit,2016
Kepler-498 b,Kepler-498,9.61375356,0.0897,3.03,9.43,931.0,5744.0,Transit,2016
Kepler-877 b,Kepler-877,18.45847097,0.1301,2.12,5.14,632.0,5261.0,Transit,2016
Kepler-865 b,Kepler-865,14.16399294,0.1057,2.49,6.76,694.0,5570.0,Transit,2016
Kepler-288 c,Kepler-288,19.305772,0.14,2.85,8.5,815.0,5918.0,Transit,2014
Kepler-794 b,Kepler-794,11.13125132,0.10036,2.11,5.1,952.0,5839.0,Transit,2016
Kepler-340 c,Kepler-340,22.824669,0.178,3.37,11.3,946.0,6620.0,Transit,2014
Kepler-333 b,Kepler-333,12.551158,0.087,1.32,28.2,480.0,4259.0,Transit,2014
Kepler-951 b,Kepler-951,71.52530845,0.3091,5.59,26.7,340.0,4834.0,Transit,2016
Kepler-66 b,Kepler-66,17.815815,0.1352,2.8,8.25,699.0,5962.0,Transit,2013
Kepler-1805 b,Kepler-1805,8.847940445,0.0699,1.54502915,3.0,479.0,3867.0,Transit,2021
Kepler-1792 b,Kepler-1792,4.1957798,0.0488,2.51990972,6.89,1047.0,5229.0,Transit,2021
Kepler-276 d,Kepler-276,48.648,0.24666,2.8,16.3,489.0,5693.0,Transit,2013
Kepler-372 c,Kepler-372,20.053763,0.154,2.09,5.02,755.0,6509.0,Transit,2014
Kepler-114 b,Kepler-114,5.188549,0.053,1.26,1.09,586.0,4605.0,Transit,2014
Kepler-1207 b,Kepler-1207,13.68237119,0.1156,1.62,3.26,802.0,5909.0,Transit,2016
Kepler-1249 b,Kepler-1249,24.3347127,0.167,2.38,6.26,647.0,6202.0,Transit,2016
Kepler-1859 b,Kepler-1859,2.729599953,0.0394,1.58313575,3.13,1455.0,5887.0,Transit,2021
Kepler-1244 b,Kepler-1244,3.70428172,0.0502,1.35,2.39,1839.0,6680.0,Transit,2016
Kepler-213 c,Kepler-213,4.822962,0.057,2.34,6.08,1060.0,5696.0,Transit,2014
Kepler-1388 b,Kepler-1388,12.2854603,0.0882,2.59,7.22,434.0,4098.0,Transit,2016
Kepler-258 c,Kepler-258,33.653079,0.193,3.61,12.7,470.0,4942.0,Transit,2014
Kepler-355 b,Kepler-355,11.03189,0.102,1.46,2.73,840.0,6184.0,Transit,2014
Kepler-324 e,Kepler-324,13.97939968,0.10972,2.03862444,235.014,635.0,5191.0,Transit,2021
Kepler-330 b,Kepler-330,8.25978,0.075,1.35,2.39,714.0,5117.0,Transit,2014
Kepler-233 c,Kepler-233,60.418955,0.287,2.71,7.8,390.0,5360.0,Transit,2014
Kepler-174 d,Kepler-174,247.35373,0.677,2.19,5.43,212.0,4880.0,Transit,2014
